Agence;Devise;Responsable;Remise_Pct;Famille;Montant_Local;Quantite
Kinshasa;CDF;Nadège Kalala;0.03;Huiles;443459342.68;5108
Kinshasa;CDF;Nadège Kalala;0;Riz;536389972.57;2821
Kinshasa;CDF;Nadège Kalala;0.05;Farine;371042200.53;3221
Kinshasa;CDF;Nadège Kalala;0;Boissons;251667726.57;4672
Kinshasa;CDF;Nadège Kalala;0.03;Savons;204151935.86;4616
Kinshasa;CDF;Nadège Kalala;0.02;Conserves;267985709.17;3650
Lubumbashi;CDF;Trésor Ilunga;0.03;Huiles;271501188.24;3146
Lubumbashi;CDF;Trésor Ilunga;0.03;Riz;262197468.08;1639
Lubumbashi;CDF;Trésor Ilunga;0;Farine;223168940.43;1827
Lubumbashi;CDF;Trésor Ilunga;0.05;Boissons;161400477.45;3026
Lubumbashi;CDF;Trésor Ilunga;0.05;Savons;103989436.25;2458
Lubumbashi;CDF;Trésor Ilunga;0;Conserves;174644758.18;2330
Abidjan;XOF;Serge Kouadio;0;Huiles;55690323.96;3594
Abidjan;XOF;Serge Kouadio;0;Riz;74266207.31;2232
Abidjan;XOF;Serge Kouadio;0.05;Farine;40125760.98;1936
Abidjan;XOF;Serge Kouadio;0.05;Boissons;28043620.97;2857
Abidjan;XOF;Serge Kouadio;0.05;Savons;31474238.61;3823
Abidjan;XOF;Serge Kouadio;0.05;Conserves;35194480.0;2677
Dakar;XOF;Aïcha Ndiaye;0;Huiles;40437700.94;2539
Dakar;XOF;Aïcha Ndiaye;0;Riz;47692747.03;1527
Dakar;XOF;Aïcha Ndiaye;0;Farine;24745535.91;1205
Dakar;XOF;Aïcha Ndiaye;0.02;Boissons;22341445.03;2302
Dakar;XOF;Aïcha Ndiaye;0.02;Savons;19188267.05;2286
Dakar;XOF;Aïcha Ndiaye;0.05;Conserves;25770504.69;2018
Douala;XAF;Thomas Mbarga;0.03;Huiles;38714042.06;2454
Douala;XAF;Thomas Mbarga;0;Riz;63952175.84;2027
Douala;XAF;Thomas Mbarga;0;Farine;34116616.82;1629
Douala;XAF;Thomas Mbarga;0;Boissons;31769609.73;3379
Douala;XAF;Thomas Mbarga;0.03;Savons;23182390.03;2995
Douala;XAF;Thomas Mbarga;0.03;Conserves;31604651.18;2328
Libreville;XAF;Josée Nguema;0.03;Huiles;32345566.79;2039
Libreville;XAF;Josée Nguema;0;Riz;43914680.53;1325
Libreville;XAF;Josée Nguema;0.05;Farine;23756010.45;1105
Libreville;XAF;Josée Nguema;0.03;Boissons;18728094.91;1887
Libreville;XAF;Josée Nguema;0;Savons;15591587.8;2014
Libreville;XAF;Josée Nguema;0;Conserves;21512513.94;1684
